,Address,Bedrooms,Bathrooms,Rent,Total Area,Price per sqft,Type of house,Transit Score
146,"180 N Ada St Unit FL6-ID487 Chicago,IL60607–Fulton Market",1.0,1.0,3480,790.0,4.405063291139241,Single Family,72
148,"Circle Park Apartments 1111 S Ashland Ave,Chicago,IL60607–Little Italy",3.0,2.0,1400,910.0,1.5384615384615383,Other,68
149,"909 W Washington Blvd Unit 1008 Chicago,IL60607–Fulton Market",2.0,2.0,3350,1100.0,3.0454545454545454,Single Family,84
150,"1446 W Lexington St Unit 1 Chicago,IL60607–Little Italy",2.0,1.0,2100,1100.0,1.9090909090909087,Single Family,71
151,"1200 W Monroe St Unit 0415 Chicago,IL60607–Fulton Market",1.0,1.0,2250,950.0,2.3684210526315788,Single Family,77
152,"1446 W Lexington St 1446 W Lexington St,Chicago,IL60607–Little Italy",2.0,1.0,2100,9999.0,0.21002100210021,Single Family,71
153,"1107 W Van Buren St 1107 W Van Buren St,Chicago,IL60607–West Loop",3.0,2.0,2015,470.0,4.287234042553192,Other,78
155,"903 S Ashland Ave Unit FL2-ID719 Chicago,IL60607–Little Italy",1.0,1.0,2590,624.0,4.1506410256410255,Single Family,70
156,"720 N Milwaukee Ave Unit 1705 Chicago,IL60642–University Village",3.0,3.0,3850,1152.0,3.342013888888889,Other,78
157,"1107 W Van Buren St Unit 1 Chicago,IL60607–West Loop",1.0,1.0,2679,700.0,3.827142857142857,Single Family,78
158,"1436 W Randolph St 1436 W Randolph St,Chicago,IL60607–Chicago",2.0,2.0,2457,720.0,3.4125,Single Family,73
159,"611 S Wells St 611 S Wells St,Chicago,IL60607–South Loop",2.0,2.0,2000,700.0,2.857142857142857,Single Family,100
160,"1152 W Randolph St Unit 1 Chicago,IL60607–Fulton Market",2.0,2.0,3100,1300.0,2.3846153846153846,Single Family,74
161,"235 W Van Buren St Unit 3201 Chicago,IL60607–Chicago Loop",2.0,2.0,2800,1292.0,2.1671826625387,Single Family,100
164,"908-910 S Bishop St 908-910 S Bishop St,Chicago,IL60607–Little Italy",2.0,1.0,2500,1200.0,2.083333333333333,Single Family,70
165,"1327 W Washington Blvd Unit 2a Chicago,IL60607–Fulton Market",2.0,2.0,4999,2000.0,2.4995,Single Family,73
